model_family,candidate_id,scaler,alpha,l1_ratio,mean_log_rmse,std_log_rmse,fold_scores,fit_time_seconds,rank
ElasticNet,137,robust,0.007,0.3,0.1182734749885036,0.010040461873175525,"[np.float64(0.11916), np.float64(0.1127), np.float64(0.13101), np.float64(0.12604), np.float64(0.10247)]",0.32929515838623047,137
ElasticNet,44,standard,0.0007,0.4,0.11845862130250281,0.007574818204640925,"[np.float64(0.11906), np.float64(0.11929), np.float64(0.12021), np.float64(0.12865), np.float64(0.10508)]",0.760035514831543,138
Ridge,26,standard,30.0,,0.11884467721045726,0.008356947062070104,"[np.float64(0.11662), np.float64(0.12177), np.float64(0.1196), np.float64(0.13104), np.float64(0.10519)]",0.1131589412689209,139
ElasticNet,30,standard,0.0005,0.5,0.11892418285063484,0.007678887996817851,"[np.float64(0.12012), np.float64(0.11968), np.float64(0.12049), np.float64(0.12908), np.float64(0.10524)]",0.6884350776672363,140
ElasticNet,70,standard,0.0015,0.15,0.11895262091237624,0.007770450533821452,"[np.float64(0.11936), np.float64(0.11995), np.float64(0.12051), np.float64(0.12959), np.float64(0.10534)]",0.7517902851104736,141
ElasticNet,84,standard,0.002,0.1,0.11918326634656448,0.00784745419463588,"[np.float64(0.11941), np.float64(0.12041), np.float64(0.12069), np.float64(0.12995), np.float64(0.10546)]",0.8309965133666992,142
Ridge,3,robust,0.3,,0.11926290019914924,0.008165761265712395,"[np.float64(0.12173), np.float64(0.12141), np.float64(0.12052), np.float64(0.12866), np.float64(0.104)]",0.215057373046875,143
ElasticNet,125,robust,0.005,0.5,0.11937944333269068,0.01011800840490605,"[np.float64(0.12061), np.float64(0.11345), np.float64(0.13249), np.float64(0.12675), np.float64(0.1036)]",0.33900022506713867,144
ElasticNet,42,standard,0.0007,0.3,0.11941544245177789,0.007820863346609093,"[np.float64(0.12078), np.float64(0.12024), np.float64(0.12089), np.float64(0.12971), np.float64(0.10545)]",0.7935187816619873,145
ElasticNet,56,standard,0.001,0.2,0.11945345774579455,0.007858429221114342,"[np.float64(0.12056), np.float64(0.12039), np.float64(0.12093), np.float64(0.1299), np.float64(0.10548)]",0.7000563144683838,146
