search_type,oof_log_rmse,weights
random_dirichlet,0.1270681351278232,0.59046 | 0.02038 | 0.02468 | 0.09199 | 0.10930 | 0.16318
random_dirichlet,0.12706838598125392,0.62661 | 0.11763 | 0.02965 | 0.15783 | 0.05766 | 0.01062
random_dirichlet,0.12706882246070694,0.48396 | 0.02129 | 0.16938 | 0.08259 | 0.22189 | 0.02088
random_dirichlet,0.1270688258918486,0.59197 | 0.01375 | 0.13052 | 0.15077 | 0.07169 | 0.04131
random_dirichlet,0.12706906251351563,0.61664 | 0.07204 | 0.12711 | 0.01236 | 0.08149 | 0.09036
random_dirichlet,0.12706908718230944,0.64227 | 0.02476 | 0.16556 | 0.01389 | 0.06774 | 0.08578
random_dirichlet,0.12706940454649346,0.57316 | 0.15954 | 0.13326 | 0.02648 | 0.09701 | 0.01057
random_dirichlet,0.12706954631573184,0.58481 | 0.00895 | 0.11839 | 0.10843 | 0.08834 | 0.09110
random_dirichlet,0.12707042062175158,0.67462 | 0.10877 | 0.03389 | 0.03666 | 0.07448 | 0.07159
random_dirichlet,0.12707055582115864,0.55990 | 0.01410 | 0.03211 | 0.13753 | 0.12027 | 0.13608
random_dirichlet,0.12707076889111613,0.57752 | 0.17391 | 0.05173 | 0.03170 | 0.10808 | 0.05707
random_dirichlet,0.12707095182796974,0.69709 | 0.09831 | 0.04955 | 0.06939 | 0.06304 | 0.02262
random_dirichlet,0.1270710948722303,0.48777 | 0.03730 | 0.14246 | 0.07536 | 0.24193 | 0.01517
random_dirichlet,0.12707121112400327,0.49629 | 0.03835 | 0.09542 | 0.10066 | 0.26069 | 0.00860
random_dirichlet,0.1270712608829337,0.61331 | 0.02533 | 0.01523 | 0.08587 | 0.25915 | 0.00111
random_dirichlet,0.1270718548917662,0.49283 | 0.01818 | 0.13458 | 0.05727 | 0.23181 | 0.06533
random_dirichlet,0.12707195622001663,0.70117 | 0.05856 | 0.01687 | 0.04123 | 0.16620 | 0.01597
random_dirichlet,0.12707257315539425,0.49512 | 0.03591 | 0.14738 | 0.04590 | 0.24944 | 0.02626
random_dirichlet,0.12707319692585353,0.70772 | 0.00857 | 0.02490 | 0.12968 | 0.05716 | 0.07198
random_dirichlet,0.12707358807160338,0.50844 | 0.03591 | 0.15540 | 0.01147 | 0.18820 | 0.10058
random_dirichlet,0.1270736734315175,0.65851 | 0.05316 | 0.14014 | 0.05821 | 0.04999 | 0.03999
random_dirichlet,0.1270738509512607,0.55432 | 0.04302 | 0.09038 | 0.00690 | 0.26521 | 0.04018
random_dirichlet,0.12707418301649226,0.59322 | 0.23082 | 0.06086 | 0.00856 | 0.09615 | 0.01038
random_dirichlet,0.12707430603226377,0.58056 | 0.05771 | 0.01596 | 0.01343 | 0.25381 | 0.07852
random_dirichlet,0.12707435022168975,0.54320 | 0.00346 | 0.01256 | 0.03329 | 0.18546 | 0.22203
random_dirichlet,0.12707453214895156,0.59760 | 0.02586 | 0.02505 | 0.04481 | 0.26186 | 0.04483
random_dirichlet,0.12707494173218856,0.64251 | 0.01169 | 0.17120 | 0.04672 | 0.05611 | 0.07176
random_dirichlet,0.12707494220867643,0.53042 | 0.01306 | 0.11481 | 0.01934 | 0.27206 | 0.05031
random_dirichlet,0.12707512386736192,0.51712 | 0.01196 | 0.29316 | 0.00547 | 0.13804 | 0.03425
random_dirichlet,0.1270751418580191,0.52655 | 0.04468 | 0.00527 | 0.11622 | 0.16372 | 0.14356
random_dirichlet,0.12707555406369972,0.49086 | 0.04837 | 0.20209 | 0.00341 | 0.23494 | 0.02034
